identifiant_de_document,reference_document,date_mutation,nature_mutation,valeur_fonciere,no_voie,btq,type_de_voie,code_voie,voie,code_postal,commune,code_departement,code_commune,prefixe_de_section,section,no_plan,no_volume,lot1,surface_carrez_lot1,lot2,surface_carrez_lot2,lot3,surface_carrez_lot3,lot4,surface_carrez_lot4,lot5,surface_carrez_lot5,nombre_de_lots,code_type_local,type_local,identifiant_local,surface_reelle_bati,nombre_pieces_principales,nature_culture,nature_culture_speciale,surface_terrain
,,,,1700000.0,,,,,,94000.0,,94,28,,,,,,,,,,,,,,,,1.0,,,300.0,8.0,,,1361.0
,,,,1700000.0,,,,,,94000.0,,94,28,,,,,,,,,,,,,,,,1.0,,,34.0,2.0,,,1361.0
,,,,695000.0,,,,,,94100.0,,94,68,,,,,,,,,,,,,,,,1.0,,,65.0,3.0,,,177.0
,,,,960000.0,,,,,,94700.0,,94,46,,,,,,,,,,,,,,,,1.0,,,120.0,4.0,,,264.0
,,,,645000.0,,,,,,94140.0,,94,2,,,,,,,,,,,,,,,,1.0,,,90.0,4.0,,,301.0
,,,,667000.0,,,,,,94000.0,,94,28,,,,,,,,,,,,,,,,1.0,,,118.0,4.0,,,310.0
,,,,595400.0,,,,,,94210.0,,94,68,,,,,,,,,,,,,,,,1.0,,,80.0,4.0,,,219.0
,,,,800000.0,,,,,,94700.0,,94,46,,,,,,,,,,,,,,,,4.0,,,300.0,0.0,,,325.0
,,,,1758375.0,,,,,,94220.0,,94,18,,,,,,,,,,,,,,,,1.0,,,148.0,5.0,,,253.0
,,,,210000.0,,,,,,94140.0,,94,2,,,,,,,,,,,,,,,,1.0,,,60.0,2.0,,,204.0
,,,,502500.0,,,,,,94000.0,,94,28,,,,,,,,,,,,,,,,1.0,,,84.0,4.0,,,209.0
,,,,605000.0,,,,,,94210.0,,94,68,,,,,,,,,,,,,,,,1.0,,,111.0,5.0,,,244.0
,,,,785000.0,,,,,,94340.0,,94,42,,,,,,,,,,,,,,,,1.0,,,115.0,4.0,,,246.0
,,,,650000.0,,,,,,94210.0,,94,68,,,,,,,,,,,,,,,,1.0,,,59.0,3.0,,,313.0
,,,,920000.0,,,,,,94340.0,,94,42,,,,,,,,,,,,,,,,1.0,,,121.0,6.0,,,5.0
,,,,635000.0,,,,,,94100.0,,94,68,,,,,,,,,,,,,,,,1.0,,,82.0,4.0,,,206.0
,,,,915000.0,,,,,,94210.0,,94,68,,,,,,,,,,,,,,,,1.0,,,103.0,4.0,,,157.0
,,,,800000.0,,,,,,94340.0,,94,42,,,,,,,,,,,,,,,,4.0,,,80.0,0.0,,,216.0
,,,,900000.0,,,,,,94340.0,,94,42,,,,,,,,,,,,,,,,4.0,,,550.0,0.0,,,42.0
,,,,745000.0,,,,,,94100.0,,94,68,,,,,,,,,,,,,,,,1.0,,,130.0,6.0,,,277.0
,,,,220000.0,,,,,,94000.0,,94,28,,,,,,,,,,,,,,,,1.0,,,50.0,3.0,,,90.0
,,,,1730000.0,,,,,,94340.0,,94,42,,,,,,,,,,,,,,,,4.0,,,550.0,0.0,,,42.0
,,,,1730000.0,,,,,,94340.0,,94,42,,,,,,,,,,,,,,,,4.0,,,80.0,0.0,,,216.0
,,,,640000.0,,,,,,94700.0,,94,46,,,,,,,,,,,,,,,,1.0,,,86.0,3.0,,,269.0
,,,,483000.0,,,,,,94000.0,,94,28,,,,,,,,,,,,,,,,1.0,,,113.0,5.0,,,268.0
,,,,443000.0,,,,,,94700.0,,94,46,,,,,,,,,,,,,,,,1.0,,,77.0,3.0,,,67.0
,,,,1050000.0,,,,,,94100.0,,94,68,,,,,,,,,,,,,,,,4.0,,,130.0,0.0,,,430.0
,,,,1050000.0,,,,,,94100.0,,94,68,,,,,,,,,,,,,,,,2.0,,,25.0,1.0,,,430.0
,,,,1035000.0,,,,,,94700.0,,94,46,,,,,,,,,,,,,,,,1.0,,,160.0,4.0,,,340.0
,,,,599000.0,,,,,,94140.0,,94,2,,,,,,,,,,,,,,,,1.0,,,100.0,3.0,,,202.0
,,,,599000.0,,,,,,94140.0,,94,2,,,,,,,,,,,,,,,,4.0,,,97.0,0.0,,,202.0
,,,,1315350.0,,,,,,94220.0,,94,18,,,,,,,,,,,,,,,,1.0,,,127.0,5.0,,,264.0
,,,,1255000.0,,,,,,94210.0,,94,68,,,,,,,,,,,,,,,,1.0,,,178.0,4.0,,,405.0
,,,,781900.0,,,,,,94100.0,,94,68,,,,,,,,,,,,,,,,1.0,,,60.0,3.0,,,357.0
,,,,459000.0,,,,,,94380.0,,94,11,,,,,,,,,,,,,,,,1.0,,,67.0,4.0,,,375.0
,,,,540000.0,,,,,,94210.0,,94,68,,,,,,,,,,,,,,,,1.0,,,47.0,3.0,,,349.0
,,,,745000.0,,,,,,94100.0,,94,68,,,,,,,,,,,,,,,,1.0,,,119.0,5.0,,,428.0
,,,,840000.0,,,,,,94100.0,,94,68,,,,,,,,,,,,,,,,1.0,,,150.0,6.0,,,492.0
,,,,8266935.5,,,,,,94700.0,,94,46,,,,,,,,,,,,,,,,2.0,,,38.0,2.0,,,874.0
,,,,8266935.5,,,,,,94700.0,,94,46,,,,,,,,,,,,,,,,2.0,,,98.0,4.0,,,874.0
,,,,8266935.5,,,,,,94700.0,,94,46,,,,,,,,,,,,,,,,2.0,,,17.0,1.0,,,874.0
,,,,8266935.5,,,,,,94700.0,,94,46,,,,,,,,,,,,,,,,2.0,,,30.0,2.0,,,874.0
,,,,8266935.5,,,,,,94700.0,,94,46,,,,,,,,,,,,,,,,2.0,,,28.0,1.0,,,874.0
,,,,8266935.5,,,,,,94700.0,,94,46,,,,,,,,,,,,,,,,2.0,,,14.0,1.0,,,874.0
,,,,8266935.5,,,,,,94700.0,,94,46,,,,,,,,,,,,,,,,2.0,,,12.0,1.0,,,874.0
,,,,8266935.5,,,,,,94700.0,,94,46,,,,,,,,,,,,,,,,1.0,,,60.0,4.0,,,874.0
