property_value,street_number,street_type,street_name,postal_code,town_name,department_code,property_type,building_area,main_rooms,land_area,year
650000,34,RTE,D AULNAY,93140,BONDY,93,Appartement,35,2,768,2022
500000,6,AV,HENRI BARBUSSE,93150,LE BLANC-MESNIL,93,Maison,89,4,423,2022
500000,6,AV,HENRI BARBUSSE,93150,LE BLANC-MESNIL,93,Local industriel. commercial ou assimilé,321,0,423,2022
719000,119,RUE,ORMES,93230,ROMAINVILLE,93,Maison,198,3,177,2022
350000,58,AV,PAUL LANGEVIN,93600,AULNAY SOUS BOIS,93,Maison,60,4,247,2022
762000,70,PROM,ANDRE BALLU,93460,GOURNAY SUR MARNE,93,Maison,110,4,133,2022
762000,70,PROM,ANDRE BALLU,93460,GOURNAY SUR MARNE,93,Maison,110,4,1287,2022
350000,5,IMP,DU DOCTEUR BERTHERAT,93420,VILLEPINTE,93,Maison,95,6,334,2022
267000,109,AV,DES PERDRIX,93370,MONTFERMEIL,93,Dépendance,0,0,400,2022
267000,109,AV,DES PERDRIX,93370,MONTFERMEIL,93,Maison,112,6,400,2022
223000,15,RUE,ALPES,93600,AULNAY SOUS BOIS,93,Maison,44,2,184,2022
1010000,17,RUE,PIERRE BROSSOLETTE,93110,ROSNY-SOUS-BOIS,93,Dépendance,0,0,392,2022
1010000,17,RUE,PIERRE BROSSOLETTE,93110,ROSNY-SOUS-BOIS,93,Maison,188,8,392,2022
1500000,35,RUE,JEAN PIERRE TIMBAUD,93240,STAINS,93,Local industriel. commercial ou assimilé,700,0,6384,2022
1500000,35,RUE,JEAN PIERRE TIMBAUD,93240,STAINS,93,Maison,40,2,6384,2022
1500000,33,RUE,JEAN PIERRE TIMBAUD,93240,STAINS,93,Maison,100,3,330,2022
266000,71,AV,DES TULIPES,93370,MONTFERMEIL,93,Maison,50,3,500,2022
465000,17,ALL,LOUIS BREGUET,93420,VILLEPINTE,93,Local industriel. commercial ou assimilé,732,0,741,2022
329900,17,RUE,DES FRERES NOGER,93160,NOISY-LE-GRAND,93,Dépendance,0,0,300,2022
329900,17,RUE,DES FRERES NOGER,93160,NOISY-LE-GRAND,93,Maison,50,3,300,2022
302500,19,AV,DES ROSIERS,93290,TREMBLAY-EN-FRANCE,93,Maison,128,5,274,2022
302500,19,AV,DES ROSIERS,93290,TREMBLAY-EN-FRANCE,93,Dépendance,0,0,274,2022
338000,21,AV,CASTELNAU,93700,DRANCY,93,Maison,55,3,351,2022
498000,38,AV,SAUVAGE,93370,MONTFERMEIL,93,Maison,128,5,501,2022
661000,66,BD,PASTEUR,93120,LA COURNEUVE,93,Local industriel. commercial ou assimilé,1909,0,1806,2022
661000,66,BD,PASTEUR,93120,LA COURNEUVE,93,Local industriel. commercial ou assimilé,1803,0,1806,2022
450000,128,RUE,DES BERTHAUDS,93110,ROSNY-SOUS-BOIS,93,Maison,88,4,173,2022
