transaction_date,transaction_type,property_value,postal_code,town_name,department_code,town_code,property_type_code,property_type,building_area,main_rooms,land_area
20/01/2022,Vente,545850,77135,PONTCARRE,77,374,1,Maison,130,6,500
20/01/2022,Vente,545850,77135,PONTCARRE,77,374,1,Maison,130,6,252
26/01/2022,Vente,40000,77130,VARENNES-SUR-SEINE,77,482,3,Dépendance,0,0,3111
01/02/2022,Vente,360000,77240,SEINE-PORT,77,447,3,Dépendance,0,0,892
01/02/2022,Vente,360000,77240,SEINE-PORT,77,447,2,Appartement,63,3,892
01/02/2022,Vente,360000,77240,SEINE-PORT,77,447,2,Appartement,54,3,892
31/01/2022,Vente,426000,77000,MELUN,77,288,2,Appartement,26,1,177
31/01/2022,Vente,426000,77000,MELUN,77,288,2,Appartement,37,2,177
31/01/2022,Vente,426000,77000,MELUN,77,288,4,Local industriel. commercial ou assimilé,110,0,177
31/01/2022,Vente,426000,77000,MELUN,77,288,2,Appartement,25,1,177
27/01/2022,Vente,330720,77810,THOMERY,77,463,1,Maison,105,4,195
03/02/2022,Vente,352000,77170,SERVON,77,450,1,Maison,80,3,243
03/02/2022,Vente,352000,77170,SERVON,77,450,3,Dépendance,0,0,13
03/02/2022,Vente,352000,77170,SERVON,77,450,3,Dépendance,0,0,16
03/02/2022,Vente,325000,77170,BRIE COMTE ROBERT,77,53,1,Maison,84,4,432
04/02/2022,Vente,395000,77000,MELUN,77,288,1,Maison,100,6,337
18/01/2022,Vente,215000,77570,BOUGLIGNY,77,45,1,Maison,122,5,999
03/02/2022,Vente,325000,77820,CHATELET-EN-BRIE (LE),77,100,1,Maison,132,7,837
07/02/2022,Vente,330900,77190,DAMMARIE LES LYS,77,152,1,Maison,87,3,838
04/02/2022,Vente,293300,77720,AUBEPIERRE-OZOUER-LE-REPOS,77,10,1,Maison,84,5,530
04/02/2022,Vente,350000,77310,SAINT-FARGEAU-PONTHIERRY,77,407,1,Maison,103,5,381
03/02/2022,Vente,297000,77127,LIEUSAINT,77,251,1,Maison,76,4,135
08/02/2022,Vente,445000,77173,CHEVRY-COSSIGNY,77,114,1,Maison,129,5,376
28/01/2022,Vente,214850,77250,MORET-LOING-ET-ORVANNE,77,316,1,Maison,74,4,120
03/02/2022,Vente,135000,77130,VARENNES-SUR-SEINE,77,482,3,Dépendance,0,0,495
03/02/2022,Vente,135000,77130,VARENNES-SUR-SEINE,77,482,1,Maison,70,3,223
03/02/2022,Vente,135000,77130,VARENNES-SUR-SEINE,77,482,3,Dépendance,0,0,223
03/02/2022,Vente,135000,77130,VARENNES-SUR-SEINE,77,482,1,Maison,70,3,495
02/02/2022,Vente,265000,77000,MELUN,77,288,1,Maison,95,6,212
02/02/2022,Vente,359000,77550,MOISSY-CRAMAYEL,77,296,1,Maison,93,6,264
08/02/2022,Vente,345500,77670,SAINT-MAMMES,77,419,1,Maison,108,4,674
04/02/2022,Vente,380000,77720,CHAMPEAUX,77,82,3,Dépendance,0,0,513
04/02/2022,Vente,380000,77720,CHAMPEAUX,77,82,1,Maison,135,6,513
