transaction_date,transaction_type,property_value,street_number,street_type,street_name,postal_code,town_name,department_code,town_code,property_type_code,property_type,building_area,main_rooms,land_area
18/02/2021,Vente,3500000,115,RUE,DE LA CONCORDE,94700,MAISONS-ALFORT,94,46,2,Appartement,43,2,346
18/02/2021,Vente,3500000,115,RUE,DE LA CONCORDE,94700,MAISONS-ALFORT,94,46,2,Appartement,36,2,346
18/02/2021,Vente,3500000,115,RUE,DE LA CONCORDE,94700,MAISONS-ALFORT,94,46,2,Appartement,25,1,346
18/02/2021,Vente,3500000,115,RUE,DE LA CONCORDE,94700,MAISONS-ALFORT,94,46,2,Appartement,52,3,346
18/02/2021,Vente,3500000,115,RUE,DE LA CONCORDE,94700,MAISONS-ALFORT,94,46,4,Local industriel. commercial ou assimilé,0,0,835
18/02/2021,Vente,3500000,115,RUE,DE LA CONCORDE,94700,MAISONS-ALFORT,94,46,3,Dépendance,0,0,835
18/02/2021,Vente,3500000,115,RUE,DE LA CONCORDE,94700,MAISONS-ALFORT,94,46,2,Appartement,28,1,835
18/02/2021,Vente,3500000,115,RUE,DE LA CONCORDE,94700,MAISONS-ALFORT,94,46,2,Appartement,36,2,835
18/02/2021,Vente,3500000,115,RUE,DE LA CONCORDE,94700,MAISONS-ALFORT,94,46,2,Appartement,43,2,835
18/02/2021,Vente,3500000,115,RUE,DE LA CONCORDE,94700,MAISONS-ALFORT,94,46,2,Appartement,41,2,835
18/02/2021,Vente,3500000,115,RUE,DE LA CONCORDE,94700,MAISONS-ALFORT,94,46,2,Appartement,25,1,835
18/02/2021,Vente,3500000,115,RUE,DE LA CONCORDE,94700,MAISONS-ALFORT,94,46,2,Appartement,37,2,835
18/02/2021,Vente,3500000,115,RUE,DE LA CONCORDE,94700,MAISONS-ALFORT,94,46,3,Dépendance,0,0,346
18/02/2021,Vente,3500000,115,RUE,DE LA CONCORDE,94700,MAISONS-ALFORT,94,46,4,Local industriel. commercial ou assimilé,0,0,346
18/02/2021,Vente,3500000,115,RUE,DE LA CONCORDE,94700,MAISONS-ALFORT,94,46,2,Appartement,52,3,835
08/03/2021,Vente,890000,67,AV,GABRIEL PERI,94100,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,133,6,410
18/02/2021,Vente,1130000,23,RUE,PAUL VAILLANT COUTURIER,94700,MAISONS-ALFORT,94,46,1,Maison,183,8,400
25/02/2021,Vente,715000,91,RUE,DE PARIS,94340,JOINVILLE-LE-PONT,94,42,1,Maison,94,5,329
10/03/2021,Vente,650000,193,RUE,VAILLANT COUTURIER,94140,ALFORTVILLE,94,2,1,Maison,110,3,436
12/03/2021,Vente,995000,117,AV,DU CENTENAIRE,94210,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,88,4,531
15/03/2021,Vente,620000,9,RUE,CARPEAUX,94210,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,116,5,145
01/03/2021,Vente,400000,17,RUE,DE BONNE,94000,CRETEIL,94,28,3,Dépendance,0,0,402
09/02/2021,Vente,650000,9,RUE,MARCEAU,94210,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,71,3,299
26/02/2021,Vente,1570000,21,AV,DU ONZE NOVEMBRE,94210,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,280,8,477
26/02/2021,Vente,1570000,21,AV,DU ONZE NOVEMBRE,94210,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,280,8,1083
01/03/2021,Vente,244868,35,RUE,LOUIS DUPRE,94100,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,62,3,233
25/02/2021,Vente,646000,20,RUE,DE LA FEDERATION,94700,MAISONS-ALFORT,94,46,1,Maison,95,4,378
25/02/2021,Vente,646000,20,RUE,DE LA FEDERATION,94700,MAISONS-ALFORT,94,46,1,Maison,37,2,378
24/02/2021,Vente,520000,3,AV,LEVERRIER,94100,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,82,4,277
24/02/2021,Vente,453000,34,RUE,GARIBALDI,94100,SAINT-MAUR-DES-FOSSES,94,68,2,Appartement,100,3,468
24/02/2021,Vente,453000,34,RUE,GARIBALDI,94100,SAINT-MAUR-DES-FOSSES,94,68,2,Appartement,54,2,468
24/02/2021,Vente,453000,34,RUE,GARIBALDI,94100,SAINT-MAUR-DES-FOSSES,94,68,4,Local industriel. commercial ou assimilé,50,0,468
10/03/2021,Vente,530000,24,AV,PIERRE BROSSOLETTE,94100,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,76,4,145
26/02/2021,Vente,550000,96,AV,MARINVILLE,94100,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,109,4,352
12/03/2021,Vente,525000,5,ALL,DES PLATANES,94210,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,69,4,373
24/02/2021,Vente,542300,28,RUE,HOCHE,94700,MAISONS-ALFORT,94,46,1,Maison,90,3,212
10/03/2021,Vente,8150,44,RUE,DE CHAMPAGNE,94700,MAISONS-ALFORT,94,46,1,Maison,172,7,457
18/03/2021,Vente,765000,106,AV,GEORGES CLEMENCEAU,94700,MAISONS-ALFORT,94,46,1,Maison,125,4,438
