transaction_date,property_value,postal_code,town_name,department_code,town_code,property_type_code,property_type,building_area,main_rooms,land_area
02/12/2021,"655162,00",91140.0,VILLEJUST,91,666,2.0,Appartement,35.0,2.0,133.0
02/12/2021,"655162,00",91140.0,VILLEJUST,91,666,1.0,Maison,50.0,3.0,133.0
02/12/2021,"655162,00",91140.0,VILLEJUST,91,666,2.0,Appartement,35.0,1.0,133.0
02/12/2021,"655162,00",91140.0,VILLEJUST,91,666,2.0,Appartement,160.0,7.0,1054.0
02/12/2021,"655162,00",91140.0,VILLEJUST,91,666,3.0,Dépendance,0.0,0.0,1054.0
02/12/2021,"655162,00",91140.0,VILLEJUST,91,666,2.0,Appartement,90.0,3.0,1054.0
15/12/2021,"668000,00",91730.0,CHAMARANDE,91,132,1.0,Maison,82.0,3.0,3047.0
14/12/2021,"155000,00",91100.0,CORBEIL ESSONNES,91,174,3.0,Dépendance,0.0,0.0,136.0
14/12/2021,"155000,00",91100.0,CORBEIL ESSONNES,91,174,2.0,Appartement,45.0,3.0,136.0
14/12/2021,"155000,00",91100.0,CORBEIL ESSONNES,91,174,2.0,Appartement,50.0,2.0,136.0
09/12/2021,"303525,00",91150.0,ETAMPES,91,223,4.0,Local industriel. commercial ou assimilé,50.0,0.0,380.0
09/12/2021,"303525,00",91150.0,ETAMPES,91,223,4.0,Local industriel. commercial ou assimilé,60.0,0.0,380.0
09/12/2021,"303525,00",91150.0,ETAMPES,91,223,2.0,Appartement,24.0,1.0,380.0
09/12/2021,"303525,00",91150.0,ETAMPES,91,223,2.0,Appartement,36.0,1.0,380.0
09/12/2021,"303525,00",91150.0,ETAMPES,91,223,2.0,Appartement,50.0,2.0,380.0
09/12/2021,"303525,00",91150.0,ETAMPES,91,223,2.0,Appartement,40.0,2.0,380.0
14/12/2021,"1200000,00",91270.0,VIGNEUX SUR SEINE,91,657,4.0,Local industriel. commercial ou assimilé,800.0,0.0,5327.0
14/12/2021,"1200000,00",91270.0,VIGNEUX SUR SEINE,91,657,4.0,Local industriel. commercial ou assimilé,1050.0,0.0,5327.0
14/12/2021,"1200000,00",91270.0,VIGNEUX SUR SEINE,91,657,1.0,Maison,31.0,2.0,5327.0
14/12/2021,"1200000,00",91270.0,VIGNEUX SUR SEINE,91,657,4.0,Local industriel. commercial ou assimilé,7668.0,0.0,5327.0
16/12/2021,"95000,00",91270.0,VIGNEUX SUR SEINE,91,657,4.0,Local industriel. commercial ou assimilé,114.0,0.0,119.0
29/11/2021,"1000000,00",91460.0,MARCOUSSIS,91,363,2.0,Appartement,42.0,2.0,3827.0
29/11/2021,"1000000,00",91460.0,MARCOUSSIS,91,363,4.0,Local industriel. commercial ou assimilé,401.0,0.0,3827.0
15/12/2021,"558000,00",91420.0,MORANGIS,91,432,1.0,Maison,145.0,4.0,652.0
15/12/2021,"558000,00",91420.0,MORANGIS,91,432,3.0,Dépendance,0.0,0.0,652.0
15/12/2021,"625000,00",91290.0,ARPAJON,91,21,3.0,Dépendance,0.0,0.0,640.0
15/12/2021,"625000,00",91290.0,ARPAJON,91,21,1.0,Maison,164.0,7.0,640.0
09/12/2021,"290000,00",91280.0,SAINT-PIERRE-DU-PERRAY,91,573,1.0,Maison,85.0,5.0,182.0
15/12/2021,"314000,00",91200.0,ATHIS MONS,91,27,1.0,Maison,70.0,3.0,130.0
20/12/2021,"255000,00",91170.0,VIRY CHATILLON,91,687,1.0,Maison,48.0,3.0,227.0
22/12/2021,"300000,00",91090.0,LISSES,91,340,1.0,Maison,90.0,4.0,265.0
03/12/2021,"115000,00",91350.0,GRIGNY,91,286,1.0,Maison,30.0,2.0,183.0
06/12/2021,"252000,00",91590.0,BAULNE,91,47,1.0,Maison,77.0,4.0,144.0
13/12/2021,"200000,00",91090.0,LISSES,91,340,3.0,Dépendance,0.0,0.0,417.0
13/12/2021,"200000,00",91090.0,LISSES,91,340,1.0,Maison,410.0,9.0,417.0
03/12/2021,"395000,00",91600.0,SAVIGNY-SUR-ORGE,91,589,1.0,Maison,104.0,4.0,263.0
09/12/2021,"400000,00",91470.0,LIMOURS,91,338,3.0,Dépendance,0.0,0.0,1865.0
09/12/2021,"400000,00",91470.0,LIMOURS,91,338,3.0,Dépendance,0.0,0.0,500.0
09/12/2021,"400000,00",91470.0,LIMOURS,91,338,1.0,Maison,147.0,5.0,500.0
09/12/2021,"400000,00",91470.0,LIMOURS,91,338,1.0,Maison,147.0,5.0,1865.0
16/12/2021,"190000,00",91360.0,VILLEMOISSON-S-ORGE,91,667,1.0,Maison,32.0,1.0,95.0
16/12/2021,"190000,00",91360.0,VILLEMOISSON-S-ORGE,91,667,3.0,Dépendance,0.0,0.0,95.0
15/12/2021,"411900,00",91540.0,ORMOY,91,468,1.0,Maison,142.0,5.0,638.0
10/12/2021,"512700,00",91360.0,VILLEMOISSON-S-ORGE,91,667,1.0,Maison,158.0,7.0,336.0
10/12/2021,"512700,00",91360.0,VILLEMOISSON-S-ORGE,91,667,3.0,Dépendance,0.0,0.0,15.0
20/12/2021,"330000,00",91270.0,VIGNEUX SUR SEINE,91,657,1.0,Maison,93.0,4.0,345.0
18/12/2021,"285000,00",91820.0,BOUTIGNY-SUR-ESSONNE,91,99,1.0,Maison,130.0,5.0,939.0
18/12/2021,"285000,00",91820.0,BOUTIGNY-SUR-ESSONNE,91,99,3.0,Dépendance,0.0,0.0,939.0
15/12/2021,"347000,00",91540.0,FONTENAY-LE-VICOMTE,91,244,1.0,Maison,102.0,7.0,564.0
17/12/2021,"756500,00",91360.0,VILLEMOISSON-S-ORGE,91,667,1.0,Maison,187.0,6.0,853.0
09/12/2021,"369500,00",91640.0,FONTENAY-LES-BRIIS,91,243,1.0,Maison,105.0,5.0,545.0
02/12/2021,"249000,00",91610.0,BALLANCOURT-SUR-ESSONNE,91,45,1.0,Maison,83.0,5.0,323.0
26/11/2021,"210000,00",91720.0,MAISSE,91,359,3.0,Dépendance,0.0,0.0,70.0
26/11/2021,"210000,00",91720.0,MAISSE,91,359,1.0,Maison,57.0,3.0,70.0
26/11/2021,"210000,00",91720.0,MAISSE,91,359,3.0,Dépendance,0.0,0.0,605.0
26/11/2021,"210000,00",91720.0,MAISSE,91,359,1.0,Maison,57.0,3.0,605.0
16/12/2021,"310000,00",91320.0,WISSOUS,91,689,1.0,Maison,80.0,4.0,300.0
03/12/2021,"365825,00",91260.0,JUVISY SUR ORGE,91,326,1.0,Maison,54.0,3.0,341.0
03/12/2021,"365825,00",91260.0,JUVISY SUR ORGE,91,326,3.0,Dépendance,0.0,0.0,341.0
03/12/2021,"825000,00",91160.0,LONGJUMEAU,91,345,1.0,Maison,240.0,5.0,169.0
03/12/2021,"825000,00",91160.0,LONGJUMEAU,91,345,3.0,Dépendance,0.0,0.0,169.0
17/12/2021,"405000,00",91460.0,MARCOUSSIS,91,363,1.0,Maison,127.0,5.0,470.0
09/12/2021,"273479,00",91700.0,SAINTE-GENEVIEVE-DES-BOIS,91,549,1.0,Maison,50.0,3.0,415.0
09/12/2021,"273479,00",91700.0,SAINTE-GENEVIEVE-DES-BOIS,91,549,3.0,Dépendance,0.0,0.0,415.0
21/12/2021,"145000,00",91210.0,DRAVEIL,91,201,1.0,Maison,97.0,6.0,529.0
26/11/2021,"150000,00",91930.0,MONNERVILLE,91,414,3.0,Dépendance,0.0,0.0,100.0
26/11/2021,"150000,00",91930.0,MONNERVILLE,91,414,2.0,Appartement,49.0,2.0,100.0
26/11/2021,"150000,00",91930.0,MONNERVILLE,91,414,2.0,Appartement,91.0,4.0,100.0
26/11/2021,"325000,00",91540.0,MENNECY,91,386,1.0,Maison,119.0,5.0,627.0
20/12/2021,"318000,00",91170.0,VIRY CHATILLON,91,687,1.0,Maison,57.0,3.0,351.0
03/12/2021,"470000,00",91390.0,MORSANG-SUR-ORGE,91,434,1.0,Maison,80.0,3.0,352.0
13/12/2021,"379200,00",91210.0,DRAVEIL,91,201,1.0,Maison,149.0,6.0,800.0
13/12/2021,"379200,00",91210.0,DRAVEIL,91,201,3.0,Dépendance,0.0,0.0,800.0
17/12/2021,"274300,00",91480.0,QUINCY-SOUS-SENART,91,514,3.0,Dépendance,0.0,0.0,371.0
17/12/2021,"274300,00",91480.0,QUINCY-SOUS-SENART,91,514,1.0,Maison,58.0,3.0,371.0
08/12/2021,"275000,00",91360.0,EPINAY SUR ORGE,91,216,1.0,Maison,46.0,3.0,171.0
07/12/2021,"210000,00",91320.0,WISSOUS,91,689,3.0,Dépendance,0.0,0.0,180.0
07/12/2021,"210000,00",91320.0,WISSOUS,91,689,2.0,Appartement,69.0,3.0,180.0
07/12/2021,"210000,00",91320.0,WISSOUS,91,689,2.0,Appartement,60.0,3.0,180.0
09/12/2021,"436490,00",91250.0,SAINTRY-SUR-SEINE,91,577,1.0,Maison,105.0,5.0,545.0
09/12/2021,"436490,00",91250.0,SAINTRY-SUR-SEINE,91,577,1.0,Maison,105.0,5.0,500.0
14/12/2021,"289780,00",91280.0,SAINT-PIERRE-DU-PERRAY,91,573,1.0,Maison,75.0,4.0,258.0
17/12/2021,"631000,00",91360.0,VILLEMOISSON-S-ORGE,91,667,1.0,Maison,118.0,5.0,500.0
17/12/2021,"561500,00",91360.0,VILLEMOISSON-S-ORGE,91,667,1.0,Maison,74.0,3.0,346.0
17/12/2021,"561500,00",91360.0,VILLEMOISSON-S-ORGE,91,667,1.0,Maison,74.0,3.0,600.0
17/12/2021,"417432,00",91360.0,VILLEMOISSON-S-ORGE,91,667,1.0,Maison,75.0,3.0,439.0
14/12/2021,"497000,00",91440.0,BURES SUR YVETTE,91,122,1.0,Maison,93.0,4.0,982.0
10/12/2021,"478000,00",91200.0,ATHIS MONS,91,27,1.0,Maison,125.0,5.0,400.0
17/12/2021,"697500,00",91360.0,VILLEMOISSON-S-ORGE,91,667,1.0,Maison,123.0,4.0,657.0
17/12/2021,"697500,00",91360.0,VILLEMOISSON-S-ORGE,91,667,3.0,Dépendance,0.0,0.0,657.0
15/12/2021,"330000,00",91250.0,SAINTRY-SUR-SEINE,91,577,1.0,Maison,20.0,2.0,596.0
15/12/2021,"330000,00",91250.0,SAINTRY-SUR-SEINE,91,577,3.0,Dépendance,0.0,0.0,596.0
15/12/2021,"330000,00",91250.0,SAINTRY-SUR-SEINE,91,577,1.0,Maison,50.0,2.0,596.0
17/12/2021,"359000,00",91490.0,MOIGNY SUR ECOLE,91,408,1.0,Maison,85.0,3.0,288.0
10/12/2021,"313000,00",91850.0,BOURAY-SUR-JUINE,91,95,1.0,Maison,91.0,4.0,750.0
10/12/2021,"230000,00",91290.0,LA NORVILLE,91,457,1.0,Maison,38.0,2.0,500.0
10/12/2021,"230000,00",91290.0,LA NORVILLE,91,457,1.0,Maison,38.0,2.0,520.0
02/12/2021,"318000,00",91560.0,CROSNE,91,191,1.0,Maison,62.0,3.0,257.0
17/12/2021,"500000,00",91470.0,FORGES-LES-BAINS,91,249,1.0,Maison,137.0,8.0,667.0
15/12/2021,"590000,00",91160.0,BALLAINVILLIERS,91,44,1.0,Maison,142.0,5.0,666.0
10/12/2021,"95000,00",91410.0,SAINT-ESCOBILLE,91,547,1.0,Maison,150.0,4.0,96.0
10/12/2021,"95000,00",91410.0,SAINT-ESCOBILLE,91,547,3.0,Dépendance,0.0,0.0,36.0
25/11/2021,"350000,00",91400.0,SACLAY,91,534,3.0,Dépendance,0.0,0.0,450.0
25/11/2021,"350000,00",91400.0,SACLAY,91,534,1.0,Maison,77.0,4.0,450.0
30/11/2021,"338000,00",91590.0,FERTE-ALAIS (LA),91,232,1.0,Maison,78.0,5.0,669.0
25/11/2021,"240000,00",91650.0,BREUILLET,91,105,3.0,Dépendance,0.0,0.0,242.0
25/11/2021,"240000,00",91650.0,BREUILLET,91,105,1.0,Maison,83.0,3.0,242.0
14/12/2021,"299000,00",91630.0,MAROLLES-EN-HUREPOIX,91,376,3.0,Dépendance,0.0,0.0,207.0
14/12/2021,"299000,00",91630.0,MAROLLES-EN-HUREPOIX,91,376,1.0,Maison,82.0,4.0,207.0
15/12/2021,"660440,00",91120.0,PALAISEAU,91,477,1.0,Maison,186.0,8.0,778.0
15/12/2021,"660440,00",91120.0,PALAISEAU,91,477,1.0,Maison,186.0,8.0,90.0
15/12/2021,"365000,00",91440.0,BURES SUR YVETTE,91,122,3.0,Dépendance,0.0,0.0,685.0
15/12/2021,"365000,00",91440.0,BURES SUR YVETTE,91,122,1.0,Maison,109.0,5.0,685.0
09/12/2021,"433400,00",91140.0,VILLEBON SUR YVETTE,91,661,1.0,Maison,100.0,3.0,400.0
30/11/2021,"500000,00",91190.0,GIF SUR YVETTE,91,272,1.0,Maison,109.0,6.0,539.0
20/12/2021,"260000,00",91720.0,PRUNAY-SUR-ESSONNE,91,507,1.0,Maison,95.0,5.0,789.0
20/12/2021,"260000,00",91720.0,PRUNAY-SUR-ESSONNE,91,507,1.0,Maison,95.0,5.0,516.0
21/12/2021,"301300,00",91360.0,EPINAY SUR ORGE,91,216,1.0,Maison,64.0,3.0,144.0
14/12/2021,"300300,00",91790.0,BOISSY-SOUS-SAINT-YON,91,85,1.0,Maison,83.0,5.0,534.0
14/12/2021,"239000,00",91560.0,CROSNE,91,191,1.0,Maison,40.0,2.0,329.0
16/12/2021,"290080,00",91380.0,CHILLY MAZARIN,91,161,3.0,Dépendance,0.0,0.0,345.0
16/12/2021,"290080,00",91380.0,CHILLY MAZARIN,91,161,1.0,Maison,48.0,3.0,345.0
10/12/2021,"263000,00",91170.0,VIRY CHATILLON,91,687,1.0,Maison,40.0,2.0,333.0
15/12/2021,"293900,00",91520.0,EGLY,91,207,1.0,Maison,80.0,4.0,701.0
26/11/2021,"400000,00",91160.0,LONGJUMEAU,91,345,1.0,Maison,110.0,5.0,638.0
17/12/2021,"175000,00",91100.0,VILLABE,91,659,3.0,Dépendance,0.0,0.0,421.0
17/12/2021,"175000,00",91100.0,VILLABE,91,659,1.0,Maison,159.0,6.0,421.0
17/11/2021,"406175,00",91130.0,RIS-ORANGIS,91,521,1.0,Maison,131.0,4.0,339.0
10/12/2021,"345000,00",91530.0,ST MAURICE MONTCOURONNE,91,568,1.0,Maison,167.0,5.0,1064.0
17/12/2021,"370000,00",91330.0,YERRES,91,691,1.0,Maison,57.0,4.0,467.0
